what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329667727416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329667728515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329667729482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329667730965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329667731912
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668156382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329668163241
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668191318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1329668213307
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.indent",1329668213718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668217395
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668217520
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668230519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668238848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668244415
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668244451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668248999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668249139
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329668254410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329668255800
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329668270365
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668271328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668278390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668279167
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668294251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668297500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668298440
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329668305488
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1329668315929
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329668322125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668330800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668359838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668374984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668399337
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329668405157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329668408517
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329668411497
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329668416894
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668419215
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668421670
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668422071
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668422767
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668424287
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329668426054
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1329668431343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329668431442
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329668433026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329668436900
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329668439221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668451054
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668483262
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1329668487218
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1329668501478
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668513533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668522270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668524868
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668527000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668527913
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668530506
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329668545561
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329668548008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668558771
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329668576401
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329668576873
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329668577297
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329668577719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329668578541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1329668584674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1329668585378
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1329668587342
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329668592006
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329668663982
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329668670114
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329668677174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329668688801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668693641
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668703931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668709486
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668868099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668869763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668871600
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329668879140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1329668882046
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1329668883134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1329668883421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1329668883645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329668913675
